scenario_id,split,regime,wind_uncertainty_pct,current_uncertainty_pct,horizon_days,lane_offset_nm,ship_length_m,ship_beam_m,ship_pos_pct,start_x,start_y,n_runs,incursion_probability,risk_level,mean_drift_speed_kmday,mean_drift_bearing_deg,confidence_radius_km,closest_lane_km,closest_vessel_km
sc_00069,val,moderate,54.19,92.49,13,-116.12,56.0,11.9,0.736,178.09,421.43,50,0.48,high,15.95,22.9,67.66,19.94,20.48
sc_00070,train,calm,94.51,77.41,11,-39.09,352.8,25.0,0.457,248.23,393.37,50,0.0,low,8.8,-3.0,30.45,63.05,135.26
sc_00071,test,calm,8.2,56.28,14,-7.02,91.8,13.2,0.17,261.17,371.26,50,1.0,high,8.8,19.9,22.26,2.24,260.0
sc_00072,train,moderate,6.26,30.93,4,100.8,60.2,14.7,0.528,167.92,434.15,50,1.0,high,15.95,17.7,14.51,3.22,174.75
sc_00073,train,calm,28.24,76.04,11,58.08,369.7,10.6,0.216,50.67,491.48,50,1.0,high,8.8,29.9,20.69,1.33,399.22
sc_00074,val,calm,60.32,73.81,11,91.91,292.0,54.1,0.919,273.12,446.07,50,0.1,low,8.8,46.1,22.31,16.81,33.6
sc_00075,train,storm,58.48,88.33,14,42.44,337.9,30.4,0.772,296.46,418.11,50,1.0,high,25.3,33.9,113.76,5.19,18.43
sc_00076,train,calm,14.65,42.05,13,47.83,387.7,60.3,0.813,154.74,351.12,50,1.0,high,8.8,18.8,18.5,4.97,18.62
sc_00077,train,moderate,28.51,9.79,12,111.82,314.9,69.8,0.644,72.23,372.46,50,1.0,high,15.95,23.3,31.92,1.2,114.33
sc_00078,train,calm,40.49,64.56,5,105.78,333.4,45.6,0.822,145.48,390.5,50,1.0,high,8.8,40.7,9.95,3.04,48.52
sc_00079,test,calm,29.19,65.52,3,-109.08,106.5,11.9,0.167,221.43,368.63,50,0.0,low,8.8,29.0,7.49,165.08,372.33
sc_00080,train,moderate,2.19,39.53,6,-81.98,146.6,67.4,0.861,297.6,410.29,50,0.12,low,15.95,57.4,18.98,30.87,35.44
sc_00081,test,storm,67.3,82.42,9,28.87,218.3,13.1,0.124,54.74,425.43,50,1.0,high,25.3,78.8,89.66,8.5,471.57
sc_00082,train,calm,38.6,37.07,5,16.14,247.0,51.7,0.902,298.59,360.39,50,0.0,low,8.8,24.6,9.23,33.5,86.66
sc_00083,train,moderate,50.87,47.24,8,-123.78,68.3,27.0,0.865,206.41,356.95,50,0.0,low,15.95,66.3,35.93,91.94,97.42
sc_00084,train,storm,61.54,29.52,7,-8.76,210.2,44.3,0.527,150.71,387.69,50,1.0,high,25.3,55.2,57.12,8.21,204.35
sc_00085,train,moderate,7.6,1.49,5,30.04,215.1,20.7,0.924,63.79,498.35,50,0.96,high,15.95,16.0,13.65,14.25,33.11
sc_00086,train,moderate,85.25,11.39,4,127.46,173.3,28.1,0.895,251.36,478.13,50,0.0,low,15.95,30.6,16.57,51.24,51.34
sc_00087,train,moderate,17.63,45.72,7,-5.25,349.6,54.3,0.14,158.76,388.76,50,0.86,high,15.95,42.4,28.57,14.07,369.72
sc_00088,train,calm,28.67,32.48,13,51.93,190.7,69.6,0.185,286.15,499.51,50,0.86,high,8.8,34.6,22.17,13.92,334.85
sc_00089,train,storm,51.38,94.43,10,-100.76,382.6,39.5,0.555,261.41,433.79,50,1.0,high,25.3,43.8,85.77,1.34,128.14
sc_00090,val,storm,48.16,49.71,4,148.52,92.2,20.1,0.05,289.04,395.79,50,0.0,low,25.3,76.9,37.62,43.37,384.21
sc_00091,train,storm,19.66,12.99,10,-11.23,387.0,66.3,0.868,142.17,484.01,50,1.0,high,25.3,85.5,50.04,3.03,102.4
sc_00092,train,storm,2.38,85.4,6,-142.26,397.4,52.1,0.043,175.14,452.68,50,0.02,low,25.3,64.6,59.75,50.05,482.65
sc_00093,val,storm,30.38,97.73,9,135.74,103.9,27.1,0.163,206.1,464.17,50,0.0,low,25.3,37.6,78.38,36.64,376.72
sc_00094,val,calm,15.77,65.93,4,127.41,200.1,54.8,0.839,211.62,487.9,50,0.0,low,8.8,5.5,9.29,42.52,66.74
sc_00095,train,calm,2.98,57.31,10,80.39,234.7,51.1,0.961,217.52,476.43,50,1.0,high,8.8,10.8,16.25,3.18,15.58
sc_00096,train,moderate,3.64,94.12,10,-20.77,70.2,30.4,0.202,160.88,451.16,50,1.0,high,15.95,66.4,41.97,2.86,392.97
sc_00097,val,calm,59.2,38.52,10,-91.94,328.1,43.0,0.144,85.75,424.06,50,0.0,low,8.8,28.0,16.24,116.97,414.82
sc_00098,train,moderate,46.41,37.98,8,109.8,61.5,23.2,0.388,99.66,387.92,50,1.0,high,15.95,8.5,26.08,3.29,211.97
sc_00099,train,moderate,15.45,2.92,6,-144.7,291.9,49.0,0.427,270.15,449.39,50,0.0,low,15.95,60.7,15.46,71.62,241.41
sc_00100,train,calm,14.12,63.97,6,-130.55,168.4,17.1,0.566,100.21,403.22,50,0.0,low,8.8,43.7,10.77,179.26,268.45
sc_00101,test,calm,62.93,13.11,13,138.47,199.8,31.9,0.54,261.24,375.49,50,0.06,low,8.8,16.2,17.19,17.57,123.81
sc_00102,train,moderate,66.42,83.66,7,116.73,327.9,63.0,0.297,278.54,415.27,50,0.0,low,15.95,66.0,37.09,24.08,270.14
sc_00103,train,calm,86.29,11.88,10,-118.55,355.9,32.2,0.291,73.54,376.82,50,0.0,low,8.8,37.7,16.76,158.4,362.54
sc_00104,train,moderate,21.81,79.62,11,-63.19,172.6,55.3,0.859,113.81,483.27,50,1.0,high,15.95,43.6,45.94,0.88,55.82
sc_00105,train,moderate,11.28,63.79,6,-97.99,290.2,69.2,0.224,108.23,350.04,50,0.0,low,15.95,20.6,21.0,148.25,342.33
sc_00106,train,calm,41.46,4.64,4,-49.65,273.0,30.0,0.605,207.15,428.57,50,0.0,low,8.8,18.1,4.86,93.37,160.55
sc_00107,train,calm,13.47,89.92,9,-41.16,78.6,36.6,0.081,81.87,364.51,50,0.0,low,8.8,4.7,19.15,133.6,411.11
sc_00108,train,moderate,20.62,50.54,9,-34.17,128.4,15.1,0.274,238.56,371.39,50,1.0,high,15.95,42.4,29.01,2.67,252.78
sc_00109,train,calm,87.54,35.74,5,-42.56,76.5,37.7,0.782,241.14,352.47,50,0.0,low,8.8,41.9,13.09,96.32,97.42
sc_00110,test,storm,90.01,50.09,13,129.94,261.2,46.5,0.422,196.22,384.22,50,0.92,high,25.3,71.2,92.55,6.41,233.06
sc_00111,test,storm,55.47,25.57,10,-67.27,212.4,59.3,0.173,224.57,366.65,50,1.0,high,25.3,84.4,72.41,8.8,373.67
sc_00112,test,storm,68.06,99.52,8,59.54,375.3,20.8,0.692,285.05,472.76,50,0.24,moderate,25.3,28.0,93.05,7.59,85.25
sc_00113,train,calm,38.91,46.48,5,-104.99,166.0,61.5,0.748,200.91,446.69,50,0.0,low,8.8,24.5,10.29,120.31,138.32
sc_00114,test,moderate,46.18,58.61,14,108.87,126.3,46.2,0.223,81.1,433.75,50,1.0,high,15.95,60.1,53.49,7.29,401.36
sc_00115,train,calm,33.54,65.06,10,-42.94,67.1,33.1,0.179,70.49,498.58,50,0.0,low,8.8,-7.8,21.68,87.71,383.92
sc_00116,val,calm,4.84,17.04,13,-7.39,336.4,55.8,0.147,115.5,463.11,50,1.0,high,8.8,33.1,14.0,3.27,394.04
sc_00117,train,storm,78.5,5.09,10,-116.78,211.4,15.4,0.681,170.03,488.27,50,1.0,high,25.3,58.2,68.69,10.71,164.41
sc_00118,val,calm,98.07,33.65,3,9.47,377.4,49.5,0.822,187.12,453.8,50,0.0,low,8.8,33.0,7.44,47.88,69.58
sc_00119,test,moderate,67.92,28.05,6,-27.06,221.4,18.4,0.7,286.74,492.15,50,1.0,high,15.95,42.1,22.0,4.8,75.75
sc_00120,train,moderate,22.21,76.76,7,-12.23,157.8,24.4,0.575,132.71,396.86,50,0.46,high,15.95,45.6,28.33,23.95,176.75
sc_00121,train,moderate,31.48,35.51,9,29.14,375.2,32.6,0.664,170.15,400.32,50,1.0,high,15.95,38.1,30.96,3.53,97.57
sc_00122,train,moderate,17.24,79.53,5,146.53,112.5,18.6,0.171,66.38,369.85,50,1.0,high,15.95,38.4,22.92,3.24,392.96
sc_00123,train,storm,85.42,23.66,9,-134.38,124.4,61.1,0.569,184.81,362.69,50,0.82,high,25.3,61.6,66.78,10.51,190.88
sc_00124,train,moderate,64.09,87.68,12,-119.34,117.6,21.9,0.349,162.62,463.04,50,0.84,high,15.95,31.9,54.85,4.41,242.84
sc_00125,test,storm,39.12,41.77,14,-125.42,204.3,18.8,0.689,258.72,397.69,50,1.0,high,25.3,51.5,91.36,5.34,69.18
sc_00126,train,storm,85.52,52.31,8,128.32,213.8,60.7,0.046,266.53,369.86,50,0.04,low,25.3,48.5,79.33,8.99,384.93
sc_00127,train,moderate,62.25,1.98,14,-90.29,89.9,26.8,0.961,77.27,482.05,50,1.0,high,15.95,25.5,43.17,5.76,39.42
sc_00128,train,calm,43.48,42.93,9,-147.63,205.4,62.7,0.225,223.73,392.35,50,0.0,low,8.8,2.2,15.8,159.2,306.02
sc_00129,train,calm,68.87,56.4,3,-86.63,62.6,22.2,0.067,52.43,383.38,50,0.0,low,8.8,32.4,8.01,197.08,504.18
sc_00130,train,moderate,18.63,5.21,9,137.05,72.9,17.9,0.73,154.56,399.76,50,1.0,high,15.95,23.8,23.61,5.83,86.63
sc_00131,train,moderate,77.2,33.41,8,-130.0,197.0,62.3,0.171,184.34,459.87,50,0.0,low,15.95,10.7,35.8,86.48,317.8
sc_00132,train,storm,30.89,74.7,3,5.46,295.6,68.3,0.42,193.9,430.88,50,0.86,high,25.3,62.4,32.71,13.49,257.5
sc_00133,train,calm,50.48,91.76,13,102.34,369.2,52.7,0.456,223.78,382.16,50,1.0,high,8.8,44.1,28.07,2.75,196.69
sc_00134,train,calm,55.26,33.42,6,94.99,126.2,53.2,0.591,261.85,479.31,50,0.0,low,8.8,40.1,12.16,30.19,153.9
sc_00135,test,calm,15.53,36.15,8,21.12,381.5,23.2,0.975,239.68,435.73,50,1.0,high,8.8,47.9,12.43,1.73,49.89
sc_00136,val,calm,62.78,39.1,8,-143.8,275.5,23.2,0.709,81.94,428.17,50,0.0,low,8.8,11.6,13.2,184.96,213.43
sc_00137,train,moderate,52.75,68.3,11,58.69,309.7,37.8,0.231,103.1,491.76,50,1.0,high,15.95,12.4,42.6,1.36,307.13
sc_00138,train,moderate,45.07,45.98,10,126.43,368.8,10.6,0.414,106.57,461.73,50,1.0,high,15.95,32.4,33.88,4.16,284.34
sc_00139,train,storm,67.32,84.37,13,-29.4,357.5,37.0,0.472,218.46,484.9,50,1.0,high,25.3,66.8,124.6,12.6,243.03
sc_00140,test,calm,5.36,7.23,11,-101.78,229.5,47.9,0.448,244.4,482.15,50,0.0,low,8.8,44.9,10.04,30.5,218.6
sc_00141,train,calm,22.08,91.07,4,-109.98,251.9,64.2,0.312,196.34,379.01,50,0.0,low,8.8,49.4,10.12,160.0,325.26
sc_00142,test,calm,79.85,34.44,11,-132.74,144.2,18.4,0.845,233.85,413.36,50,0.0,low,8.8,29.8,22.16,98.07,101.1
sc_00143,train,moderate,46.04,94.43,11,64.17,342.2,34.8,0.448,237.03,409.38,50,1.0,high,15.95,15.9,48.19,2.34,143.56
sc_00144,train,moderate,72.54,43.29,11,52.48,156.8,30.3,0.609,241.03,415.18,50,1.0,high,15.95,42.6,46.6,6.77,121.52
sc_00145,train,calm,4.92,8.94,12,-78.58,218.2,30.7,0.64,207.44,463.98,50,0.02,low,8.8,34.3,11.83,28.94,114.89
sc_00146,train,moderate,45.57,17.6,9,15.8,116.9,42.4,0.472,72.6,399.86,50,1.0,high,15.95,53.7,29.15,3.02,267.08
sc_00147,val,moderate,49.47,49.48,11,123.58,136.2,63.2,0.519,90.89,434.48,50,1.0,high,15.95,63.4,41.98,6.93,248.88
sc_00148,train,storm,82.03,44.14,7,-92.35,270.8,66.7,0.366,260.74,395.75,50,1.0,high,25.3,50.2,57.7,6.77,217.3
sc_00149,train,storm,43.15,12.85,12,133.09,85.0,30.1,0.533,197.24,376.03,50,0.98,high,25.3,29.6,82.06,7.27,159.94
sc_00150,test,calm,47.85,92.94,3,134.2,211.6,28.4,0.765,113.39,434.28,50,1.0,high,8.8,50.9,9.88,0.23,114.65
sc_00151,train,storm,34.07,21.01,12,85.6,61.1,15.3,0.449,98.56,419.22,50,1.0,high,25.3,69.8,69.78,9.03,280.08
sc_00152,train,storm,11.48,93.08,8,57.01,269.9,18.7,0.043,177.98,449.55,50,1.0,high,25.3,72.7,67.67,6.36,453.33
sc_00153,train,storm,33.48,90.59,5,29.81,334.7,51.3,0.412,195.7,436.01,50,1.0,high,25.3,44.2,49.21,6.83,238.9
sc_00154,train,calm,41.79,18.89,8,3.98,232.4,69.3,0.527,108.63,415.04,50,0.0,low,8.8,3.0,12.45,74.4,190.43
sc_00155,val,storm,94.67,44.15,7,135.51,227.3,47.8,0.082,216.1,425.87,50,0.0,low,25.3,52.9,58.23,22.8,408.29
sc_00156,train,storm,83.54,20.66,12,-142.02,141.1,66.8,0.806,136.46,480.04,50,1.0,high,25.3,33.2,83.11,10.96,27.97
sc_00157,train,moderate,23.37,54.09,8,24.5,115.5,31.0,0.699,262.91,486.73,50,1.0,high,15.95,45.1,27.36,3.79,95.92
sc_00158,train,moderate,3.16,91.04,14,32.01,121.0,46.1,0.445,207.47,425.36,50,1.0,high,15.95,9.3,61.43,5.49,118.21
sc_00159,train,moderate,49.54,17.56,8,94.13,392.4,64.8,0.507,110.95,429.93,50,1.0,high,15.95,16.9,28.45,4.36,178.59
sc_00160,train,moderate,47.19,15.48,11,37.66,59.2,24.6,0.586,223.89,395.51,50,1.0,high,15.95,26.3,30.86,6.09,95.36
sc_00161,train,moderate,94.33,52.33,10,-112.05,207.6,66.2,0.644,113.15,402.85,50,0.0,low,15.95,31.2,46.95,70.19,132.22
sc_00162,val,moderate,74.44,52.64,3,34.6,143.3,63.8,0.915,146.66,355.95,50,0.0,low,15.95,19.0,17.82,69.17,73.48
sc_00163,val,calm,82.06,19.55,5,-85.49,209.8,13.2,0.736,127.31,351.49,50,0.0,low,8.8,6.0,11.0,179.84,191.2
sc_00164,train,calm,4.38,52.48,13,44.3,148.8,56.0,0.798,124.06,407.58,50,0.58,high,8.8,-2.8,17.91,23.3,25.18
sc_00165,val,calm,99.96,1.82,9,-112.39,261.5,29.0,0.604,116.33,359.22,50,0.0,low,8.8,45.8,17.17,153.86,220.09
sc_00166,train,calm,0.81,15.55,13,81.13,335.7,27.8,0.533,62.87,404.72,50,1.0,high,8.8,17.6,12.71,0.22,179.09
sc_00167,train,calm,52.87,10.13,5,56.0,263.0,41.5,0.592,287.61,365.46,50,0.98,high,8.8,-1.3,7.52,16.92,68.01
sc_00168,train,storm,16.0,69.68,10,-47.53,242.3,54.5,0.905,127.94,398.26,50,1.0,high,25.3,28.0,68.92,11.25,49.08
sc_00169,val,calm,23.37,37.64,14,61.7,398.6,37.6,0.204,117.41,461.09,50,1.0,high,8.8,-3.5,22.72,1.6,301.57
sc_00170,train,storm,92.85,67.17,4,119.2,144.1,37.3,0.105,224.68,394.06,50,0.54,high,25.3,78.3,46.55,1.02,382.2
sc_00171,val,calm,20.95,75.13,5,141.78,305.0,43.4,0.279,142.94,479.73,50,0.0,low,8.8,36.3,11.04,27.51,352.88
sc_00172,test,storm,7.02,81.05,9,-86.28,227.3,51.0,0.56,203.7,495.21,50,1.0,high,25.3,45.6,74.79,2.57,175.92
sc_00173,train,calm,5.29,87.77,12,-26.55,352.4,24.2,0.573,133.09,433.16,50,0.0,low,8.8,9.5,22.46,52.18,140.91
sc_00174,test,storm,84.42,29.38,9,-74.49,375.6,61.4,0.515,97.85,420.4,50,1.0,high,25.3,66.7,64.83,5.74,278.65
sc_00175,val,storm,80.05,71.51,7,67.76,52.1,17.0,0.304,114.48,417.7,50,1.0,high,25.3,28.1,69.89,2.15,290.07
sc_00176,test,moderate,17.92,60.06,7,51.7,382.5,35.8,0.012,251.72,410.63,50,1.0,high,15.95,37.5,27.45,7.1,396.57
sc_00177,train,moderate,40.62,16.38,7,54.36,233.5,63.4,0.878,229.86,428.32,50,1.0,high,15.95,36.1,24.3,4.32,7.09
sc_00178,train,moderate,81.87,48.33,13,122.91,274.1,68.7,0.486,278.66,351.34,50,1.0,high,15.95,22.7,53.22,0.6,131.35
sc_00179,val,storm,14.5,15.86,6,-144.76,53.1,14.4,0.541,91.08,399.51,50,0.0,low,25.3,30.5,36.68,109.73,198.35
sc_00180,val,calm,92.05,66.14,7,-55.36,349.7,63.0,0.89,95.0,368.07,50,0.0,low,8.8,36.2,18.86,133.25,134.91
sc_00181,train,moderate,62.42,48.92,6,-94.19,285.7,58.0,0.891,101.91,413.57,50,0.0,low,15.95,21.2,25.17,117.03,117.05
sc_00182,train,storm,35.85,82.61,6,127.95,224.5,58.2,0.321,198.78,351.56,50,1.0,high,25.3,55.7,47.41,1.93,272.45
sc_00183,test,calm,89.78,81.71,8,132.97,219.2,68.2,0.829,239.37,494.64,50,0.0,low,8.8,46.2,23.25,58.86,75.33
sc_00184,train,storm,57.28,1.18,6,-61.08,103.2,46.2,0.42,154.65,384.79,50,0.2,moderate,25.3,28.3,40.36,31.31,197.01
